base_date,emd_cd,em_cnt,em_g
2019-11-30,2019-11-30,50110250,620,2279550
2019-12-31,2019-12-31,50110250,8178,31493650
2020-01-31,2020-01-31,50110250,13042,49632850
2020-02-29,2020-02-29,50110250,12264,46197050
2020-03-31,2020-03-31,50110250,14316,52561750
2020-04-30,2020-04-30,50110250,14513,52242650
2020-05-31,2020-05-31,50110250,17614,61167800
2020-06-30,2020-06-30,50110250,17365,55895800
2020-07-31,2020-07-31,50110250,23417,74343450
2020-08-31,2020-08-31,50110250,24943,80336450
2020-09-30,2020-09-30,50110250,21807,70032800
2020-10-31,2020-10-31,50110250,21947,73234800
2020-11-30,2020-11-30,50110250,19990,70548650
2020-12-31,2020-12-31,50110250,19001,65998800
2021-01-31,2021-01-31,50110250,18369,60314250
2021-02-28,2021-02-28,50110250,17384,60052534
2021-03-31,2021-03-31,50110250,19901,69780550
2021-04-30,2021-04-30,50110250,20950,73755600
2021-05-31,2021-05-31,50110250,24046,79295550
2021-06-30,2021-06-30,50110250,25653,82746990
2018-01-31,2018-01-31,50110253,3702,7744200
2018-02-28,2018-02-28,50110253,3182,6799950
2018-03-31,2018-03-31,50110253,3789,8239050
2018-04-30,2018-04-30,50110253,3733,7756850
2018-05-31,2018-05-31,50110253,4084,7819200
2018-06-30,2018-06-30,50110253,4276,8349500
2018-07-31,2018-07-31,50110253,5031,9775900
2018-08-31,2018-08-31,50110253,4454,7980150
2018-09-30,2018-09-30,50110253,3689,6243150
2018-10-31,2018-10-31,50110253,3537,5927500
2018-11-30,2018-11-30,50110253,3388,6189400
2018-12-31,2018-12-31,50110253,3289,6749250
2019-01-31,2019-01-31,50110253,3129,6324700
2019-02-28,2019-02-28,50110253,2811,5733100
2019-03-31,2019-03-31,50110253,3015,6057700
2019-04-30,2019-04-30,50110253,2997,5753700
2019-05-31,2019-05-31,50110253,4231,7364450
2019-06-30,2019-06-30,50110253,4795,8786950
2019-07-31,2019-07-31,50110253,5287,9908000
2019-08-31,2019-08-31,50110253,5390,9669800
2019-09-30,2019-09-30,50110253,4749,8122000
2019-10-31,2019-10-31,50110253,4479,7338950
2019-11-30,2019-11-30,50110253,6869,15380950
2019-12-31,2019-12-31,50110253,13387,40070100
2020-01-31,2020-01-31,50110253,18289,58435300
2020-02-29,2020-02-29,50110253,19199,58395800
2020-03-31,2020-03-31,50110253,23171,66494950
2020-04-30,2020-04-30,50110253,23199,66115500
2020-05-31,2020-05-31,50110253,29041,80917650
2020-06-30,2020-06-30,50110253,30249,78356550
2020-07-31,2020-07-31,50110253,40444,104291450
2020-08-31,2020-08-31,50110253,43067,112411340
2020-09-30,2020-09-30,50110253,37419,84883500
2020-10-31,2020-10-31,50110253,36791,87842750
2020-11-30,2020-11-30,50110253,34200,89782750
2020-12-31,2020-12-31,50110253,33615,88980300
2021-01-31,2021-01-31,50110253,32503,84554750
2021-02-28,2021-02-28,50110253,30567,81911700
2021-03-31,2021-03-31,50110253,33859,90262150
2021-04-30,2021-04-30,50110253,35383,91456441
2021-05-31,2021-05-31,50110253,41080,103211100
2021-06-30,2021-06-30,50110253,42490,103756400
2019-11-30,2019-11-30,50110256,593,2720350
2019-12-31,2019-12-31,50110256,2942,11540750
2020-01-31,2020-01-31,50110256,5800,21059800
2020-02-29,2020-02-29,50110256,6097,19992650
2020-03-31,2020-03-31,50110256,7258,22170750
2020-04-30,2020-04-30,50110256,7488,21849950
2020-05-31,2020-05-31,50110256,9516,27501450
2020-06-30,2020-06-30,50110256,9180,25651800
2020-07-31,2020-07-31,50110256,13077,37079550
2020-08-31,2020-08-31,50110256,14184,41169850
2020-09-30,2020-09-30,50110256,11770,31084150
2020-10-31,2020-10-31,50110256,11513,31478700
2020-11-30,2020-11-30,50110256,10253,30118550
2020-12-31,2020-12-31,50110256,9802,26978450
2021-01-31,2021-01-31,50110256,9025,25143650
2021-02-28,2021-02-28,50110256,8833,26678900
2021-03-31,2021-03-31,50110256,10269,30919350
2021-04-30,2021-04-30,50110256,11197,33131350
2021-05-31,2021-05-31,50110256,12014,34451200
2021-06-30,2021-06-30,50110256,14031,37807150
2019-11-30,2019-11-30,50110259,1024,3136800
2019-12-31,2019-12-31,50110259,5650,19805800
2020-01-31,2020-01-31,50110259,10538,33574800
2020-02-29,2020-02-29,50110259,11046,33456300
2020-03-31,2020-03-31,50110259,14303,41512450
2020-04-30,2020-04-30,50110259,14120,38425250
2020-05-31,2020-05-31,50110259,17139,47353700
2020-06-30,2020-06-30,50110259,20172,51258650
2020-07-31,2020-07-31,50110259,27477,69350400
2020-08-31,2020-08-31,50110259,29281,77823096
2020-09-30,2020-09-30,50110259,24718,55652450
2020-10-31,2020-10-31,50110259,23921,54787850
2020-11-30,2020-11-30,50110259,21115,51482850
2020-12-31,2020-12-31,50110259,21164,52436150
2021-01-31,2021-01-31,50110259,21511,53697250
2021-02-28,2021-02-28,50110259,20543,52488300
2021-03-31,2021-03-31,50110259,23945,59529200
2021-04-30,2021-04-30,50110259,24691,58934750
2021-05-31,2021-05-31,50110259,24836,58813300
2021-06-30,2021-06-30,50110259,27732,63927750
2019-11-30,2019-11-30,50110310,238,877750
2019-12-31,2019-12-31,50110310,1189,3832350
2020-01-31,2020-01-31,50110310,2855,11322700
2020-02-29,2020-02-29,50110310,3101,11589200
2020-03-31,2020-03-31,50110310,3932,14581450
2020-04-30,2020-04-30,50110310,4181,14346100
2020-05-31,2020-05-31,50110310,5304,18264400
2020-06-30,2020-06-30,50110310,5109,17065400
2020-07-31,2020-07-31,50110310,6792,22484050
2020-08-31,2020-08-31,50110310,7621,26330500
2020-09-30,2020-09-30,50110310,6262,19161200
2020-10-31,2020-10-31,50110310,6217,18672150
2020-11-30,2020-11-30,50110310,5719,19279000
2020-12-31,2020-12-31,50110310,5476,18862000
2021-01-31,2021-01-31,50110310,5111,17767250
2021-02-28,2021-02-28,50110310,4975,17276700
2021-03-31,2021-03-31,50110310,5727,21007400
2021-04-30,2021-04-30,50110310,6147,22908150
2021-05-31,2021-05-31,50110310,7625,26927600
2021-06-30,2021-06-30,50110310,8031,27060150
2018-01-31,2018-01-31,50110510,5813,21302450
2018-02-28,2018-02-28,50110510,5367,18945550
2018-03-31,2018-03-31,50110510,6370,21493900
2018-04-30,2018-04-30,50110510,6222,19784300
2018-05-31,2018-05-31,50110510,6722,19538650
2018-06-30,2018-06-30,50110510,7071,19577700
2018-07-31,2018-07-31,50110510,8061,20983850
2018-08-31,2018-08-31,50110510,7687,20246750
2018-09-30,2018-09-30,50110510,7476,20998100
2018-10-31,2018-10-31,50110510,6957,20229300
2018-11-30,2018-11-30,50110510,6562,20483900
2018-12-31,2018-12-31,50110510,6294,21310550
2019-01-31,2019-01-31,50110510,6072,21091100
2019-02-28,2019-02-28,50110510,5639,19539750
2019-03-31,2019-03-31,50110510,6006,20226750
2019-04-30,2019-04-30,50110510,6067,20257050
2019-05-31,2019-05-31,50110510,6725,20543450
2019-06-30,2019-06-30,50110510,6946,20742350
2019-07-31,2019-07-31,50110510,7801,21474250
2019-08-31,2019-08-31,50110510,7466,20834500
2019-09-30,2019-09-30,50110510,6892,18767250
2019-10-31,2019-10-31,50110510,6787,19784150
2019-11-30,2019-11-30,50110510,6550,19832500
2019-12-31,2019-12-31,50110510,6293,20720650
2020-01-31,2020-01-31,50110510,6356,22040850
2020-02-29,2020-02-29,50110510,5638,16871700
2020-03-31,2020-03-31,50110510,5899,17045250
2020-04-30,2020-04-30,50110510,5680,16343050
2020-05-31,2020-05-31,50110510,6393,18849200
2020-06-30,2020-06-30,50110510,6109,18194950
2020-07-31,2020-07-31,50110510,6972,19485950
2020-08-31,2020-08-31,50110510,6910,17930600
2020-09-30,2020-09-30,50110510,6510,17142050
2020-10-31,2020-10-31,50110510,6689,17780350
2020-11-30,2020-11-30,50110510,6021,18145450
2020-12-31,2020-12-31,50110510,5743,16798950
2021-01-31,2021-01-31,50110510,5256,15883200
2021-02-28,2021-02-28,50110510,3763,11973600
2021-03-31,2021-03-31,50110510,5418,18107050
2021-04-30,2021-04-30,50110510,5789,18833000
2021-05-31,2021-05-31,50110510,6279,18297050
2021-06-30,2021-06-30,50110510,2707,7451200
2018-01-31,2018-01-31,50110520,67736,170627900
2018-02-28,2018-02-28,50110520,64735,162109500
2018-03-31,2018-03-31,50110520,72326,174844000
2018-04-30,2018-04-30,50110520,71477,157261450
2018-05-31,2018-05-31,50110520,78273,159126900
2018-06-30,2018-06-30,50110520,86147,173428400
2018-07-31,2018-07-31,50110520,105732,214415150
2018-08-31,2018-08-31,50110520,100784,200952900
2018-09-30,2018-09-30,50110520,92223,172179500
2018-10-31,2018-10-31,50110520,83124,156822250
2018-11-30,2018-11-30,50110520,76286,158478500
2018-12-31,2018-12-31,50110520,74600,175021800
2019-01-31,2019-01-31,50110520,71783,167320100
2019-02-28,2019-02-28,50110520,69010,164367100
2019-03-31,2019-03-31,50110520,69530,158011550
2019-04-30,2019-04-30,50110520,69104,146303100
2019-05-31,2019-05-31,50110520,78561,156256950
2019-06-30,2019-06-30,50110520,84680,161594150
2019-07-31,2019-07-31,50110520,95426,186412550
2019-08-31,2019-08-31,50110520,94476,175443050
2019-09-30,2019-09-30,50110520,88184,159734600
2019-10-31,2019-10-31,50110520,80858,138858500
2019-11-30,2019-11-30,50110520,76358,145292200
2019-12-31,2019-12-31,50110520,73379,158402800
2020-01-31,2020-01-31,50110520,75178,168618250
2020-02-29,2020-02-29,50110520,70367,153378350
2020-03-31,2020-03-31,50110520,76929,159747800
2020-04-30,2020-04-30,50110520,71736,139834000
2020-05-31,2020-05-31,50110520,82689,153382400
2020-06-30,2020-06-30,50110520,77662,143034450
2020-07-31,2020-07-31,50110520,97295,172874500
2020-08-31,2020-08-31,50110520,97928,175090900
2020-09-30,2020-09-30,50110520,86260,145286600
2020-10-31,2020-10-31,50110520,84532,145502700
2020-11-30,2020-11-30,50110520,75497,140298500
2020-12-31,2020-12-31,50110520,75320,155449300
2021-01-31,2021-01-31,50110520,69020,145053150
2021-02-28,2021-02-28,50110520,56372,118399850
2021-03-31,2021-03-31,50110520,65689,134650500
2021-04-30,2021-04-30,50110520,69143,131462200
2021-05-31,2021-05-31,50110520,79927,147183350
2021-06-30,2021-06-30,50110520,84360,147438200
2018-01-31,2018-01-31,50110530,17909,51373100
2018-02-28,2018-02-28,50110530,16827,47339200
2018-03-31,2018-03-31,50110530,19116,51699300
2018-04-30,2018-04-30,50110530,18674,46583350
2018-05-31,2018-05-31,50110530,20157,47787850
2018-06-30,2018-06-30,50110530,22372,52173500
2018-07-31,2018-07-31,50110530,26933,60661400
2018-08-31,2018-08-31,50110530,25327,55988250
2018-09-30,2018-09-30,50110530,23241,49206600
2018-10-31,2018-10-31,50110530,21915,47510650
2018-11-30,2018-11-30,50110530,20428,49084700
2018-12-31,2018-12-31,50110530,19221,49224550
2019-01-31,2019-01-31,50110530,19188,49807950
2019-02-28,2019-02-28,50110530,17586,43017550
2019-03-31,2019-03-31,50110530,18373,45641600
2019-04-30,2019-04-30,50110530,18272,42816050
2019-05-31,2019-05-31,50110530,20653,46101700
2019-06-30,2019-06-30,50110530,22154,47468200
2019-07-31,2019-07-31,50110530,25037,53054350
2019-08-31,2019-08-31,50110530,24913,51229450
2019-09-30,2019-09-30,50110530,23084,47155800
2019-10-31,2019-10-31,50110530,21091,44486050
2019-11-30,2019-11-30,50110530,20385,47579550
2019-12-31,2019-12-31,50110530,19349,49508100
2020-01-31,2020-01-31,50110530,19049,51342000
2020-02-29,2020-02-29,50110530,17733,45066950
2020-03-31,2020-03-31,50110530,20235,48128850
2020-04-30,2020-04-30,50110530,18783,43521000
2020-05-31,2020-05-31,50110530,21339,48859650
2020-06-30,2020-06-30,50110530,20107,43676550
2020-07-31,2020-07-31,50110530,23732,49991500
2020-08-31,2020-08-31,50110530,24147,47093800
2020-09-30,2020-09-30,50110530,21562,38896900
2020-10-31,2020-10-31,50110530,21457,37657550
2020-11-30,2020-11-30,50110530,19374,36796500
2020-12-31,2020-12-31,50110530,18623,37794550
2021-01-31,2021-01-31,50110530,16910,33481750
2021-02-28,2021-02-28,50110530,13680,28316950
2021-03-31,2021-03-31,50110530,17110,37497450
2021-04-30,2021-04-30,50110530,18201,39182450
2021-05-31,2021-05-31,50110530,20656,42806500
2021-06-30,2021-06-30,50110530,13892,28492400
2018-01-31,2018-01-31,50110540,99670,246651600
2018-02-28,2018-02-28,50110540,92603,230440750
2018-03-31,2018-03-31,50110540,103323,249276500
2018-04-30,2018-04-30,50110540,102728,227249550
2018-05-31,2018-05-31,50110540,113606,234533700
2018-06-30,2018-06-30,50110540,122949,250202150
2018-07-31,2018-07-31,50110540,150903,306877400
2018-08-31,2018-08-31,50110540,143767,285745750
2018-09-30,2018-09-30,50110540,132393,249370800
2018-10-31,2018-10-31,50110540,118401,225779650
2018-11-30,2018-11-30,50110540,109093,228491250
2018-12-31,2018-12-31,50110540,107167,251434850
2019-01-31,2019-01-31,50110540,104329,244881100
2019-02-28,2019-02-28,50110540,97306,231621700
2019-03-31,2019-03-31,50110540,100060,227260600
2019-04-30,2019-04-30,50110540,98775,211813200
2019-05-31,2019-05-31,50110540,111376,224717200
2019-06-30,2019-06-30,50110540,120091,234713850
2019-07-31,2019-07-31,50110540,136950,273172800
2019-08-31,2019-08-31,50110540,134060,259693200
2019-09-30,2019-09-30,50110540,123165,229571300
2019-10-31,2019-10-31,50110540,113367,202196250
2019-11-30,2019-11-30,50110540,105018,206554050
2019-12-31,2019-12-31,50110540,101481,222595500
2020-01-31,2020-01-31,50110540,99481,229944100
2020-02-29,2020-02-29,50110540,98520,221645750
2020-03-31,2020-03-31,50110540,108624,231274250
2020-04-30,2020-04-30,50110540,101094,204602850
2020-05-31,2020-05-31,50110540,117204,228796850
2020-06-30,2020-06-30,50110540,111012,222943362
2020-07-31,2020-07-31,50110540,134969,255052550
2020-08-31,2020-08-31,50110540,136787,256440620
2020-09-30,2020-09-30,50110540,117482,206499100
2020-10-31,2020-10-31,50110540,115415,207863950
2020-11-30,2020-11-30,50110540,102816,199985150
2020-12-31,2020-12-31,50110540,106044,220681900
2021-01-31,2021-01-31,50110540,101519,214562700
2021-02-28,2021-02-28,50110540,83034,178656200
2021-03-31,2021-03-31,50110540,95874,198242608
2021-04-30,2021-04-30,50110540,97899,192527200
2021-05-31,2021-05-31,50110540,112714,215882550
2021-06-30,2021-06-30,50110540,127973,225423200
2018-01-31,2018-01-31,50110550,28427,71078500
2018-02-28,2018-02-28,50110550,27127,68419050
2018-03-31,2018-03-31,50110550,29721,73542800
2018-04-30,2018-04-30,50110550,29402,66869550
2018-05-31,2018-05-31,50110550,32645,68054150
2018-06-30,2018-06-30,50110550,35688,72919400
2018-07-31,2018-07-31,50110550,43475,87997000
2018-08-31,2018-08-31,50110550,41888,84322600
2018-09-30,2018-09-30,50110550,37621,70970500
2018-10-31,2018-10-31,50110550,34547,66964900
2018-11-30,2018-11-30,50110550,31734,66904150
2018-12-31,2018-12-31,50110550,30921,73518900
2019-01-31,2019-01-31,50110550,30087,70912250
2019-02-28,2019-02-28,50110550,28980,69023300
2019-03-31,2019-03-31,50110550,29038,67585050
2019-04-30,2019-04-30,50110550,28392,62998400
2019-05-31,2019-05-31,50110550,32062,65460900
2019-06-30,2019-06-30,50110550,34226,68266500
2019-07-31,2019-07-31,50110550,39467,81298700
2019-08-31,2019-08-31,50110550,39762,79567550
2019-09-30,2019-09-30,50110550,37519,72046850
2019-10-31,2019-10-31,50110550,33462,60155000
2019-11-30,2019-11-30,50110550,30136,58742500
2019-12-31,2019-12-31,50110550,28876,64189500
2020-01-31,2020-01-31,50110550,29949,70070100
2020-02-29,2020-02-29,50110550,27917,61990800
2020-03-31,2020-03-31,50110550,29934,63840650
2020-04-30,2020-04-30,50110550,28097,56606000
2020-05-31,2020-05-31,50110550,32271,62806100
2020-06-30,2020-06-30,50110550,29910,58721055
2020-07-31,2020-07-31,50110550,36516,68090950
2020-08-31,2020-08-31,50110550,35329,66153800
2020-09-30,2020-09-30,50110550,30342,53852800
2020-10-31,2020-10-31,50110550,30585,54576750
2020-11-30,2020-11-30,50110550,27238,53469800
2020-12-31,2020-12-31,50110550,26591,57201600
2021-01-31,2021-01-31,50110550,25715,55008750
2021-02-28,2021-02-28,50110550,20172,43495350
2021-03-31,2021-03-31,50110550,23787,50034650
2021-04-30,2021-04-30,50110550,25571,51074200
2021-05-31,2021-05-31,50110550,29938,57099250
2021-06-30,2021-06-30,50110550,32306,59222300
2018-01-31,2018-01-31,50110560,16603,39820100
2018-02-28,2018-02-28,50110560,15629,36785950
2018-03-31,2018-03-31,50110560,17161,40787200
2018-04-30,2018-04-30,50110560,16835,37846950
2018-05-31,2018-05-31,50110560,19169,38050900
2018-06-30,2018-06-30,50110560,21206,41411150
2018-07-31,2018-07-31,50110560,26313,51910050
2018-08-31,2018-08-31,50110560,25227,48277350
2018-09-30,2018-09-30,50110560,23226,42080450
2018-10-31,2018-10-31,50110560,21586,40283000
2018-11-30,2018-11-30,50110560,20066,39478300
2018-12-31,2018-12-31,50110560,19183,43280150
2019-01-31,2019-01-31,50110560,18552,40432400
2019-02-28,2019-02-28,50110560,18214,40530650
2019-03-31,2019-03-31,50110560,19154,40510300
2019-04-30,2019-04-30,50110560,18667,38799550
2019-05-31,2019-05-31,50110560,19882,39018000
2019-06-30,2019-06-30,50110560,22246,43205150
2019-07-31,2019-07-31,50110560,25165,48782500
2019-08-31,2019-08-31,50110560,24765,46484250
2019-09-30,2019-09-30,50110560,21979,40115250
2019-10-31,2019-10-31,50110560,19399,34224250
2019-11-30,2019-11-30,50110560,18375,35060900
2019-12-31,2019-12-31,50110560,17166,35540150
2020-01-31,2020-01-31,50110560,15603,33954800
2020-02-29,2020-02-29,50110560,14806,31296400
2020-03-31,2020-03-31,50110560,15696,31831100
2020-04-30,2020-04-30,50110560,15209,29979550
2020-05-31,2020-05-31,50110560,18126,35372900
2020-06-30,2020-06-30,50110560,18461,37503450
2020-07-31,2020-07-31,50110560,20887,39410400
2020-08-31,2020-08-31,50110560,19954,38042250
2020-09-30,2020-09-30,50110560,17484,30701050
2020-10-31,2020-10-31,50110560,16851,30367250
2020-11-30,2020-11-30,50110560,15278,30242650
2020-12-31,2020-12-31,50110560,15019,31214650
2021-01-31,2021-01-31,50110560,12959,28184650
2021-02-28,2021-02-28,50110560,12085,26655750
2021-03-31,2021-03-31,50110560,11799,24801600
2021-04-30,2021-04-30,50110560,11627,23157600
2021-05-31,2021-05-31,50110560,12852,24945700
2021-06-30,2021-06-30,50110560,12943,24066500
2018-01-31,2018-01-31,50110570,14853,40712250
2018-02-28,2018-02-28,50110570,14064,37374350
2018-03-31,2018-03-31,50110570,16047,42821400
2018-04-30,2018-04-30,50110570,15785,39343900
2018-05-31,2018-05-31,50110570,17283,39819000
2018-06-30,2018-06-30,50110570,18322,40188250
2018-07-31,2018-07-31,50110570,22707,48926550
2018-08-31,2018-08-31,50110570,21494,46123400
2018-09-30,2018-09-30,50110570,20276,41854350
2018-10-31,2018-10-31,50110570,18475,38562750
2018-11-30,2018-11-30,50110570,16845,38430500
2018-12-31,2018-12-31,50110570,16158,41677600
2019-01-31,2019-01-31,50110570,15773,39537950
2019-02-28,2019-02-28,50110570,15265,38227350
2019-03-31,2019-03-31,50110570,15436,37816350
2019-04-30,2019-04-30,50110570,15302,35929200
2019-05-31,2019-05-31,50110570,16825,35526250
2019-06-30,2019-06-30,50110570,18183,37244900
2019-07-31,2019-07-31,50110570,20411,41799350
2019-08-31,2019-08-31,50110570,21097,42579500
2019-09-30,2019-09-30,50110570,19488,38817250
2019-10-31,2019-10-31,50110570,17876,35074400
2019-11-30,2019-11-30,50110570,16803,35593650
2019-12-31,2019-12-31,50110570,16518,38401950
2020-01-31,2020-01-31,50110570,16978,39746300
2020-02-29,2020-02-29,50110570,15367,35311750
2020-03-31,2020-03-31,50110570,16189,35536300
2020-04-30,2020-04-30,50110570,15099,31146900
2020-05-31,2020-05-31,50110570,17593,34807400
2020-06-30,2020-06-30,50110570,16649,33887649
2020-07-31,2020-07-31,50110570,19977,36729700
2020-08-31,2020-08-31,50110570,19329,36390400
2020-09-30,2020-09-30,50110570,16901,31369450
