base_date,emd_cd,fe_resid_reg_pop,fe_foreign_pop,m_resid_reg_pop,m_foreign_pop
0,2018-01-31,50110250,10081,1338,10808,2192
1,2018-02-28,50110250,10089,1337,10796,2205
2,2018-03-31,50110250,10136,1328,10860,2208
3,2018-04-30,50110250,10168,1357,10868,2213
4,2018-05-31,50110250,10214,1368,10898,2235
5,2018-06-30,50110250,10217,1347,10884,2320
6,2018-07-31,50110250,10231,1342,10895,2321
7,2018-08-31,50110250,10260,1344,10930,2351
8,2018-09-30,50110250,10253,1339,10944,2377
9,2018-10-31,50110250,10273,1340,10962,2358
10,2018-11-30,50110250,10295,1355,10988,2345
11,2018-12-31,50110250,10319,1347,10990,2347
12,2019-01-31,50110250,10326,1348,11011,2343
13,2019-02-28,50110250,10327,1348,11029,2322
14,2019-03-31,50110250,10339,1349,11037,2300
15,2019-04-30,50110250,10363,1349,11048,2301
16,2019-05-31,50110250,10389,1347,11052,2321
17,2019-06-30,50110250,10401,1355,11041,2320
18,2019-07-31,50110250,10377,1356,11023,2319
19,2019-08-31,50110250,10398,1351,11021,2343
20,2019-09-30,50110250,10377,1348,11011,2348
21,2019-10-31,50110250,10367,1347,11013,2383
22,2019-11-30,50110250,10377,1353,11023,2396
23,2019-12-31,50110250,10354,1332,11011,2383
24,2020-01-31,50110250,10369,1328,11004,2375
25,2020-02-29,50110250,10341,1328,10985,2367
26,2020-03-31,50110250,10310,1322,10970,2340
27,2020-04-30,50110250,10302,1317,10950,2329
28,2020-05-31,50110250,10279,1305,10923,2309
29,2020-06-30,50110250,10297,1301,10901,2303
30,2020-07-31,50110250,10320,1288,10898,2275
31,2020-08-31,50110250,10327,1261,10902,2257
32,2020-09-30,50110250,10334,1248,10891,2238
33,2020-10-31,50110250,10346,1212,10900,2209
34,2020-11-30,50110250,10355,1189,10893,2190
35,2020-12-31,50110250,10363,1176,10886,2184
36,2021-01-31,50110250,10374,1171,10889,2182
37,2021-02-28,50110250,10371,1157,10896,2147
38,2021-03-31,50110250,10308,1152,10906,2128
39,2021-04-30,50110250,10318,1149,10906,2114
40,2021-05-31,50110250,10302,1147,10891,2095
41,2021-06-30,50110250,10341,1140,10891,2090
42,2018-01-31,50110253,16563,454,17708,481
43,2018-02-28,50110253,16609,496,17777,544
44,2018-03-31,50110253,16649,494,17842,535
45,2018-04-30,50110253,16701,484,17927,529
46,2018-05-31,50110253,16753,500,17952,538
47,2018-06-30,50110253,16826,485,18005,546
48,2018-07-31,50110253,16874,490,18069,545
49,2018-08-31,50110253,16916,480,18129,534
50,2018-09-30,50110253,16958,498,18182,544
51,2018-10-31,50110253,17027,529,18273,565
52,2018-11-30,50110253,17062,540,18340,554
53,2018-12-31,50110253,17097,551,18354,548
54,2019-01-31,50110253,17078,553,18400,615
55,2019-02-28,50110253,17165,550,18425,604
56,2019-03-31,50110253,17217,519,18517,596
57,2019-04-30,50110253,17255,526,18541,580
58,2019-05-31,50110253,17333,519,18585,582
59,2019-06-30,50110253,17380,498,18666,572
60,2019-07-31,50110253,17388,496,18663,572
61,2019-08-31,50110253,17390,499,18666,572
62,2019-09-30,50110253,17417,514,18693,570
63,2019-10-31,50110253,17439,542,18693,573
64,2019-11-30,50110253,17484,549,18698,568
65,2019-12-31,50110253,17515,541,18718,571
66,2020-01-31,50110253,17489,546,18697,578
67,2020-02-29,50110253,17549,547,18784,566
68,2020-03-31,50110253,17570,526,18789,548
69,2020-04-30,50110253,17590,507,18806,541
70,2020-05-31,50110253,17675,506,18841,529
71,2020-06-30,50110253,17721,507,18895,523
72,2020-07-31,50110253,17780,509,18925,526
73,2020-08-31,50110253,17838,512,18977,520
74,2020-09-30,50110253,17851,470,18959,508
75,2020-10-31,50110253,17840,477,18959,511
76,2020-11-30,50110253,17850,480,18992,509
77,2020-12-31,50110253,17888,481,19025,504
78,2021-01-31,50110253,17910,479,19026,489
79,2021-02-28,50110253,17989,478,19017,472
80,2021-03-31,50110253,18045,476,19027,467
81,2021-04-30,50110253,18096,491,19031,462
82,2021-05-31,50110253,18148,502,19075,472
83,2021-06-30,50110253,18215,495,19122,466
84,2018-01-31,50110256,7609,184,7965,368
85,2018-02-28,50110256,7614,181,7996,372
86,2018-03-31,50110256,7594,176,8002,376
87,2018-04-30,50110256,7593,177,8015,373
88,2018-05-31,50110256,7624,181,8021,378
89,2018-06-30,50110256,7634,189,8038,400
90,2018-07-31,50110256,7661,189,8054,412
91,2018-08-31,50110256,7640,198,8037,410
92,2018-09-30,50110256,7642,198,8043,413
93,2018-10-31,50110256,7649,200,8020,417
94,2018-11-30,50110256,7631,198,8023,422
95,2018-12-31,50110256,7644,195,8026,418
96,2019-01-31,50110256,7578,196,7996,414
97,2019-02-28,50110256,7611,197,8022,409
98,2019-03-31,50110256,7591,205,8010,419
99,2019-04-30,50110256,7620,211,8007,451
100,2019-05-31,50110256,7624,215,8017,450
101,2019-06-30,50110256,7634,210,8016,451
102,2019-07-31,50110256,7626,209,8016,460
103,2019-08-31,50110256,7635,209,8026,461
104,2019-09-30,50110256,7623,209,8028,463
105,2019-10-31,50110256,7603,207,8002,462
106,2019-11-30,50110256,7565,203,7991,455
107,2019-12-31,50110256,7575,203,8014,440
108,2020-01-31,50110256,7545,206,8004,448
109,2020-02-29,50110256,7546,206,8008,442
110,2020-03-31,50110256,7525,200,7989,425
111,2020-04-30,50110256,7484,196,7949,422
112,2020-05-31,50110256,7497,196,7955,418
113,2020-06-30,50110256,7498,195,7968,416
114,2020-07-31,50110256,7513,192,7986,410
115,2020-08-31,50110256,7531,188,7993,406
116,2020-09-30,50110256,7545,188,7986,409
117,2020-10-31,50110256,7546,184,8000,411
118,2020-11-30,50110256,7557,181,8000,415
119,2020-12-31,50110256,7555,177,7991,406
120,2021-01-31,50110256,7542,178,7970,409
121,2021-02-28,50110256,7551,181,7979,402
122,2021-03-31,50110256,7487,174,7925,399
123,2021-04-30,50110256,7495,174,7930,392
124,2021-05-31,50110256,7487,171,7915,390
125,2021-06-30,50110256,7481,162,7920,392
126,2018-01-31,50110259,11394,237,12062,289
127,2018-02-28,50110259,11409,229,12102,291
128,2018-03-31,50110259,11440,233,12143,295
129,2018-04-30,50110259,11479,241,12180,297
130,2018-05-31,50110259,11503,249,12215,309
131,2018-06-30,50110259,11538,253,12242,317
132,2018-07-31,50110259,11583,254,12305,338
133,2018-08-31,50110259,11592,257,12334,346
134,2018-09-30,50110259,11635,253,12362,344
135,2018-10-31,50110259,11658,256,12368,343
136,2018-11-30,50110259,11676,258,12412,336
137,2018-12-31,50110259,11675,259,12431,353
138,2019-01-31,50110259,11682,261,12442,359
139,2019-02-28,50110259,11730,258,12498,356
140,2019-03-31,50110259,11785,258,12527,350
141,2019-04-30,50110259,11815,263,12531,340
142,2019-05-31,50110259,11856,258,12522,339
143,2019-06-30,50110259,11883,252,12534,341
144,2019-07-31,50110259,11909,252,12559,343
145,2019-08-31,50110259,11904,250,12552,337
146,2019-09-30,50110259,11948,247,12583,336
147,2019-10-31,50110259,11961,245,12607,342
148,2019-11-30,50110259,11977,257,12637,367
149,2019-12-31,50110259,12004,269,12666,374
150,2020-01-31,50110259,12056,275,12747,376
151,2020-02-29,50110259,12117,283,12820,369
152,2020-03-31,50110259,12152,279,12812,365
153,2020-04-30,50110259,12167,283,12828,368
154,2020-05-31,50110259,12172,259,12804,340
155,2020-06-30,50110259,12235,253,12823,333
156,2020-07-31,50110259,12276,253,12873,330
157,2020-08-31,50110259,12286,250,12882,324
158,2020-09-30,50110259,12334,251,12912,318
159,2020-10-31,50110259,12360,255,12935,313
160,2020-11-30,50110259,12378,259,12950,316
161,2020-12-31,50110259,12381,256,12958,310
162,2021-01-31,50110259,12398,249,12963,309
163,2021-02-28,50110259,12427,246,12980,299
164,2021-03-31,50110259,12364,246,12960,288
165,2021-04-30,50110259,12390,244,12990,282
166,2021-05-31,50110259,12425,245,13002,278
167,2021-06-30,50110259,12422,242,13017,279
168,2018-01-31,50110310,4441,95,4509,224
169,2018-02-28,50110310,4456,96,4509,215
170,2018-03-31,50110310,4471,91,4528,217
171,2018-04-30,50110310,4485,92,4546,214
172,2018-05-31,50110310,4519,94,4574,219
173,2018-06-30,50110310,4520,97,4574,246
174,2018-07-31,50110310,4525,100,4562,252
175,2018-08-31,50110310,4500,103,4564,249
176,2018-09-30,50110310,4492,105,4559,260
177,2018-10-31,50110310,4510,104,4564,259
178,2018-11-30,50110310,4495,106,4573,254
179,2018-12-31,50110310,4507,106,4582,252
180,2019-01-31,50110310,4503,108,4583,252
181,2019-02-28,50110310,4509,107,4584,255
182,2019-03-31,50110310,4525,110,4597,252
183,2019-04-30,50110310,4529,110,4605,257
184,2019-05-31,50110310,4510,111,4591,249
185,2019-06-30,50110310,4510,109,4606,251
186,2019-07-31,50110310,4515,110,4603,250
187,2019-08-31,50110310,4509,110,4589,250
188,2019-09-30,50110310,4503,109,4562,249
189,2019-10-31,50110310,4490,109,4582,251
190,2019-11-30,50110310,4482,108,4577,260
191,2019-12-31,50110310,4485,107,4552,261
192,2020-01-31,50110310,4485,108,4559,262
193,2020-02-29,50110310,4485,112,4560,259
194,2020-03-31,50110310,4484,110,4566,249
195,2020-04-30,50110310,4481,109,4540,247
196,2020-05-31,50110310,4475,130,4536,262
197,2020-06-30,50110310,4502,136,4559,270
198,2020-07-31,50110310,4509,138,4570,270
199,2020-08-31,50110310,4505,137,4577,269
200,2020-09-30,50110310,4494,135,4558,270
201,2020-10-31,50110310,4494,135,4555,269
202,2020-11-30,50110310,4481,130,4538,265
203,2020-12-31,50110310,4474,129,4555,264
204,2021-01-31,50110310,4487,128,4554,261
205,2021-02-28,50110310,4510,127,4566,260
206,2021-03-31,50110310,4488,126,4564,258
207,2021-04-30,50110310,4512,118,4585,250
208,2021-05-31,50110310,4536,102,4614,234
209,2021-06-30,50110310,4531,100,4627,237
210,2018-01-31,50110320,842,11,1020,352
211,2018-02-28,50110320,854,10,1031,349
212,2018-03-31,50110320,843,10,1015,340
213,2018-04-30,50110320,843,10,1002,334
214,2018-05-31,50110320,835,11,990,324
215,2018-06-30,50110320,838,12,994,332
216,2018-07-31,50110320,838,12,983,328
217,2018-08-31,50110320,836,13,987,334
218,2018-09-30,50110320,831,13,985,338
219,2018-10-31,50110320,830,14,980,328
220,2018-11-30,50110320,827,14,972,330
221,2018-12-31,50110320,825,16,979,329
222,2019-01-31,50110320,814,16,975,319
223,2019-02-28,50110320,799,15,965,318
224,2019-03-31,50110320,798,15,958,310
225,2019-04-30,50110320,798,14,961,303
226,2019-05-31,50110320,792,15,958,303
227,2019-06-30,50110320,790,15,951,313
228,2019-07-31,50110320,789,14,949,313
229,2019-08-31,50110320,791,14,946,311
230,2019-09-30,50110320,790,17,953,319
231,2019-10-31,50110320,790,17,942,318
232,2019-11-30,50110320,789,17,946,329
233,2019-12-31,50110320,792,13,941,311
234,2020-01-31,50110320,788,13,929,314
235,2020-02-29,50110320,798,14,931,302
236,2020-03-31,50110320,786,14,918,290
237,2020-04-30,50110320,784,12,914,284
238,2020-05-31,50110320,784,12,912,280
239,2020-06-30,50110320,784,12,903,280
240,2020-07-31,50110320,782,12,900,272
241,2020-08-31,50110320,780,13,901,264
242,2020-09-30,50110320,775,13,899,263
243,2020-10-31,50110320,769,13,900,265
244,2020-11-30,50110320,770,13,901,263
245,2020-12-31,50110320,774,12,903,274
246,2021-01-31,50110320,772,12,891,261
247,2021-02-28,50110320,762,12,891,255
248,2021-03-31,50110320,758,11,878,254
249,2021-04-30,50110320,760,10,872,252
250,2021-05-31,50110320,753,11,870,244
251,2021-06-30,50110320,752,11,874,240
252,2018-01-31,50110330,875,16,981,16
253,2018-02-28,50110330,875,16,982,16
254,2018-03-31,50110330,875,15,990,17
255,2018-04-30,50110330,877,16,996,18
256,2018-05-31,50110330,877,17,1001,16
257,2018-06-30,50110330,878,14,1007,20
258,2018-07-31,50110330,886,14,1002,21
259,2018-08-31,50110330,879,14,1000,22
260,2018-09-30,50110330,878,15,1002,23
261,2018-10-31,50110330,876,17,994,23
262,2018-11-30,50110330,875,18,992,22
263,2018-12-31,50110330,868,19,984,21
264,2019-01-31,50110330,872,18,983,21
265,2019-02-28,50110330,881,18,980,19
266,2019-03-31,50110330,877,19,978,18
267,2019-04-30,50110330,884,18,983,20
268,2019-05-31,50110330,886,18,990,18
269,2019-06-30,50110330,889,17,980,20
270,2019-07-31,50110330,887,14,984,20
271,2019-08-31,50110330,897,14,992,21
272,2019-09-30,50110330,898,13,985,19
273,2019-10-31,50110330,899,13,983,20
274,2019-11-30,50110330,883,12,979,20
275,2019-12-31,50110330,888,11,974,19
276,2020-01-31,50110330,888,11,972,19
277,2020-02-29,50110330,872,11,971,18
278,2020-03-31,50110330,865,11,963,15
279,2020-04-30,50110330,859,11,953,15
280,2020-05-31,50110330,854,12,938,14
281,2020-06-30,50110330,846,12,935,12
282,2020-07-31,50110330,846,13,932,11
283,2020-08-31,50110330,847,13,921,11
284,2020-09-30,50110330,844,14,908,10
285,2020-10-31,50110330,841,13,909,10
286,2020-11-30,50110330,843,13,910,10
287,2020-12-31,50110330,832,15,908,11
288,2021-01-31,50110330,835,14,906,12
289,2021-02-28,50110330,836,14,910,12
290,2021-03-31,50110330,827,14,907,13
291,2021-04-30,50110330,825,14,897,13
292,2021-05-31,50110330,824,14,895,13
293,2021-06-30,50110330,819,14,903,15
294,2018-01-31,50110510,1453,36,1586,52
295,2018-02-28,50110510,1425,37,1570,52
296,2018-03-31,50110510,1416,35,1561,51
297,2018-04-30,50110510,1419,37,1564,49
298,2018-05-31,50110510,1423,38,1562,58
299,2018-06-30,50110510,1417,34,1559,62
300,2018-07-31,50110510,1409,39,1549,76
301,2018-08-31,50110510,1409,38,1550,75
302,2018-09-30,50110510,1401,39,1537,69
303,2018-10-31,50110510,1388,41,1537,71
304,2018-11-30,50110510,1384,41,1522,72
305,2018-12-31,50110510,1367,43,1517,66
306,2019-01-31,50110510,1359,43,1511,61
307,2019-02-28,50110510,1362,42,1511,55
308,2019-03-31,50110510,1369,41,1501,57
309,2019-04-30,50110510,1356,43,1493,53
310,2019-05-31,50110510,1345,41,1487,55
311,2019-06-30,50110510,1337,40,1480,56
312,2019-07-31,50110510,1331,41,1473,52
313,2019-08-31,50110510,1318,39,1456,51
314,2019-09-30,50110510,1319,40,1456,53
315,2019-10-31,50110510,1308,42,1439,48
316,2019-11-30,50110510,1305,42,1426,46
317,2019-12-31,50110510,1301,42,1423,43
318,2020-01-31,50110510,1288,41,1413,43
319,2020-02-29,50110510,1270,39,1401,42
320,2020-03-31,50110510,1271,37,1405,40
321,2020-04-30,50110510,1264,38,1411,39
322,2020-05-31,50110510,1259,38,1406,41
323,2020-06-30,50110510,1258,35,1411,39
324,2020-07-31,50110510,1252,37,1403,41
325,2020-08-31,50110510,1248,36,1392,43
326,2020-09-30,50110510,1243,36,1390,42
327,2020-10-31,50110510,1243,34,1372,45
328,2020-11-30,50110510,1241,34,1372,48
329,2020-12-31,50110510,1222,32,1362,48
330,2021-01-31,50110510,1214,32,1347,47
331,2021-02-28,50110510,1205,35,1339,46
332,2021-03-31,50110510,1169,34,1316,46
333,2021-04-30,50110510,1163,34,1301,46
334,2021-05-31,50110510,1153,35,1301,44
335,2021-06-30,50110510,1156,35,1309,42
336,2018-01-31,50110520,17797,184,17188,92
337,2018-02-28,50110520,17776,186,17177,92
338,2018-03-31,50110520,17793,186,17167,88
339,2018-04-30,50110520,17766,186,17171,90
340,2018-05-31,50110520,17732,183,17140,86
341,2018-06-30,50110520,17670,183,17112,96
342,2018-07-31,50110520,17624,183,17060,106
343,2018-08-31,50110520,17619,186,17078,116
344,2018-09-30,50110520,17604,193,17058,120
345,2018-10-31,50110520,17613,189,17040,121
346,2018-11-30,50110520,17587,192,16999,107
347,2018-12-31,50110520,17495,193,16893,103
348,2019-01-31,50110520,17388,201,16802,107
349,2019-02-28,50110520,17354,197,16766,105
350,2019-03-31,50110520,17321,199,16753,95
351,2019-04-30,50110520,17270,210,16762,98
352,2019-05-31,50110520,17253,211,16749,99
353,2019-06-30,50110520,17228,209,16754,92
354,2019-07-31,50110520,17235,211,16730,97
355,2019-08-31,50110520,17184,217,16694,98
356,2019-09-30,50110520,17196,218,16689,105
357,2019-10-31,50110520,17188,217,16668,104
358,2019-11-30,50110520,17161,218,16630,105
359,2019-12-31,50110520,17118,213,16565,102
360,2020-01-31,50110520,17063,213,16549,101
361,2020-02-29,50110520,17040,213,16538,101
362,2020-03-31,50110520,17016,213,16477,100
363,2020-04-30,50110520,16976,214,16429,98
364,2020-05-31,50110520,16957,220,16405,94
365,2020-06-30,50110520,16933,226,16400,93
366,2020-07-31,50110520,16908,223,16392,93
367,2020-08-31,50110520,16881,223,16351,93
368,2020-09-30,50110520,16848,221,16344,95
369,2020-10-31,50110520,16858,214,16330,91
370,2020-11-30,50110520,16821,211,16297,84
371,2020-12-31,50110520,16782,208,16280,83
372,2021-01-31,50110520,16709,206,16179,81
373,2021-02-28,50110520,16714,200,16176,82
374,2021-03-31,50110520,16607,197,16107,82
375,2021-04-30,50110520,16589,202,16089,80
376,2021-05-31,50110520,16582,201,16089,76
377,2021-06-30,50110520,16569,200,16077,75
378,2018-01-31,50110530,3975,81,3980,51
379,2018-02-28,50110530,3957,77,3969,47
380,2018-03-31,50110530,3949,77,3979,46
381,2018-04-30,50110530,3940,73,3977,44
382,2018-05-31,50110530,3949,73,3958,45
383,2018-06-30,50110530,3947,72,3933,49
384,2018-07-31,50110530,3955,75,3920,50
385,2018-08-31,50110530,3956,73,3927,53
386,2018-09-30,50110530,3958,75,3914,53
387,2018-10-31,50110530,3961,78,3901,54
388,2018-11-30,50110530,3967,83,3898,54
389,2018-12-31,50110530,3967,85,3884,53
390,2019-01-31,50110530,3965,86,3859,55
391,2019-02-28,50110530,3973,84,3848,55
392,2019-03-31,50110530,3939,83,3822,55
393,2019-04-30,50110530,3930,85,3786,54
394,2019-05-31,50110530,3923,84,3780,53
395,2019-06-30,50110530,3921,81,3773,57
396,2019-07-31,50110530,3910,84,3780,60
397,2019-08-31,50110530,3883,85,3772,59
398,2019-09-30,50110530,3889,93,3771,62
399,2019-10-31,50110530,3896,91,3760,58
400,2019-11-30,50110530,3865,85,3752,57
401,2019-12-31,50110530,3876,91,3773,56
402,2020-01-31,50110530,3904,91,3784,55
403,2020-02-29,50110530,3905,89,3797,54
404,2020-03-31,50110530,3885,81,3806,53
405,2020-04-30,50110530,3877,83,3809,53
406,2020-05-31,50110530,3860,81,3816,54
407,2020-06-30,50110530,3861,82,3809,54
408,2020-07-31,50110530,3854,82,3810,52
409,2020-08-31,50110530,3842,77,3803,53
410,2020-09-30,50110530,3862,75,3818,56
411,2020-10-31,50110530,3856,70,3818,55
412,2020-11-30,50110530,3850,70,3820,55
413,2020-12-31,50110530,3857,71,3826,54
414,2021-01-31,50110530,3842,70,3793,53
415,2021-02-28,50110530,3804,72,3768,53
416,2021-03-31,50110530,3791,72,3743,55
417,2021-04-30,50110530,3797,73,3744,56
418,2021-05-31,50110530,3794,73,3715,54
419,2021-06-30,50110530,3798,76,3739,54
420,2018-01-31,50110540,25593,344,24510,214
421,2018-02-28,50110540,25488,332,24417,216
422,2018-03-31,50110540,25421,341,24400,226
423,2018-04-30,50110540,25420,342,24393,230
424,2018-05-31,50110540,25435,354,24448,340
425,2018-06-30,50110540,25452,360,24462,303
426,2018-07-31,50110540,25383,352,24445,302
427,2018-08-31,50110540,25393,357,24424,290
428,2018-09-30,50110540,25355,370,24429,301
429,2018-10-31,50110540,25302,372,24430,312
430,2018-11-30,50110540,25291,370,24381,290
431,2018-12-31,50110540,25200,385,24256,296
432,2019-01-31,50110540,25291,384,24358,295
433,2019-02-28,50110540,25304,391,24412,290
434,2019-03-31,50110540,25331,395,24438,292
435,2019-04-30,50110540,25366,385,24485,290
436,2019-05-31,50110540,25403,382,24542,285
437,2019-06-30,50110540,25445,389,24537,284
438,2019-07-31,50110540,25462,375,24576,283
439,2019-08-31,50110540,25462,382,24598,292
440,2019-09-30,50110540,25436,382,24652,294
441,2019-10-31,50110540,25458,383,24623,303
442,2019-11-30,50110540,25439,386,24599,297
443,2019-12-31,50110540,25410,386,24554,305
444,2020-01-31,50110540,25428,387,24525,305
445,2020-02-29,50110540,25413,395,24529,305
446,2020-03-31,50110540,25441,385,24570,298
447,2020-04-30,50110540,25449,384,24591,292
448,2020-05-31,50110540,25445,379,24629,287
449,2020-06-30,50110540,25464,380,24651,287
450,2020-07-31,50110540,25496,377,24640,272
451,2020-08-31,50110540,25477,369,24635,265
452,2020-09-30,50110540,25456,362,24530,261
453,2020-10-31,50110540,25465,358,24541,256
454,2020-11-30,50110540,25435,353,24512,249
